raus;X1;X2;ID;kohorte;group;time;age;nationality;sex;PDM_Ini1;PDM_Ini2;PDM_Ini3;PDM_Ini4;PDM_Ini1_recode;PDM_Ini2_recode;PDM_Ini3_recode;PDM_Ini4_recode;PDM_Ini_Gesamt;PDM_Improve1;PDM_Improve2;PDM_Improve3;PDM_Improve4;PDM_Improve_Gesamt;PDM_Obj1;PDM_Obj2;PDM_Obj3;PDM_Obj4;PDM_Obj_Gesamt;PDM_Info1;PDM_Info2;PDM_Info3;PDM_Info4;PDM_Info_Gesamt;PDM_Alternative_1;PDM_Alternative_2;PDM_Alternative_3;PDM_Alternative_4;PDM_Alternative_Gesamt;PDM_Radar1;PDM_Radar2;PDM_Radar3;PDM_Radar4;PDM_Radar5;PDM_Radar_Gesamt;SKILLS;allgResilienz1;allgResilienz2;allgResilienz3;allgResilienz4;allgResilienz5;allgResilienz_Gesamt;Selbstwert1;Selbstwert2;Selbstwert3;Selbstwert4;Selbstwert5;Selbstwert_Gesamt;berufswahlSW1;berufswahlSW2;berufswahlSW3;berufswahlSW4;berufswahlSW5;berufswahlSW_Gesamt;berufSW1;berufSW2;berufSW3;berufSW4;berufSW5;berufSW_Gesamt;Confidence_gesamt
0;10;17.07.2019;AN1234;2019;E;1;18;;m;;;6;5;;;2;3;2,5;5;3;3;2;3,25;3;3;3;3;3;2;2;6;2;3;1;1;1;1;1;1;1;1;1;1;1;2;6;5;5;2;;4,5;6;6;6;6;7;6,2;1;1;1;1;1;1;1;1;1;6;4;2,6;3
0;30;15.07.2019;AR0763;2019;E;1;17;Germany;w;4;5;5;2;4;3;3;6;4;6;3;4;4;4,25;3;7;6;7;5,75;3;3;5;5;4;4;4;6;5;4,75;6;6;7;6;5;6;5,125;6;6;4;5;7;5,6;7;;6;7;7;6,75;4;;5;;;4,5;5;6;6;5;5;5,4;4,75
1;36;15.07.2019;CA0511;2019;E;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3;17.07.2019;DA1029;2019;E;1;18;Germany;w;4;5;5;5;4;3;3;3;3,25;3;3;4;4;3,5;4;4;5;5;4,5;4;2;4;4;3,5;4;4;4;4;4;4;2;;;4;3,333333333;3,833333333;5;5;4;4;4;4,4;3;4;5;5;4;4,2;5;4;5;;6;5;;6;5;6;5;5,5;3,5
0;1;17.07.2019;EM1001;2019;E;1;22;Týrkei;m;4;6;6;5;4;2;2;3;2,75;6;6;6;3;5,25;6;6;6;5;5,75;6;6;5;6;5,75;5;5;5;6;5,25;5;6;6;6;6;5,8;5,6375;6;5;2;;6;4,75;6;5;;;5;5,333333333;6;6;6;5;6;5,8;6;5;;6;6;5,75;5
0;25;15.07.2019;GA0104;2019;E;1;17;Germany;w;2;4;3;3;6;4;5;5;5;6;4;4;6;5;5;6;5;7;5,75;6;5;;5;5,333333333;5;5;4;7;5,25;6;3;4;6;4;4,6;5,233333333;7;7;5;4;6;5,8;3;4;4;6;5;4,4;6;5;7;4;4;5,2;;6;4;6;6;5,5;6
0;34;15.07.2019;HA0407;2019;E;1;19;Germany;m;3;4;2;2;5;4;6;6;5,25;6;6;6;2;5;5;5;6;5;5,25;5;5;3;3;4;2;4;7;6;4,75;3;5;5;5;5;4,6;4,65;3;5;4;5;3;4;2;6;5;7;6;5,2;6;6;5;5;6;5,6;5;5;5;6;6;5,4;5,4
0;7;17.07.2019;IN0228;2019;E;1;18;Germany;m;2;2;4;2;6;6;4;6;5,5;5;4;5;2;4;4;5;5;5;4,75;6;3;6;6;5,25;3;3;4;4;3,5;4;3;6;5;4;4,4;4,475;5;6;6;6;7;6;6;;4;7;6;5,75;7;7;6;7;6;6,6;7;6;6;6;6;6,2;5,8
0;16;17.07.2019;IN0812;2019;E;1;18;Germany;m;3;4;5;5;5;4;3;3;3,75;4;4;4;3;3,75;4;3;5;5;4,25;4;3;3;4;3,5;3;4;5;4;4;4;3;5;4;5;4,2;3,9875;6;6;5;5;4;5,2;3;4;4;4;3;3,6;5;5;5;5;4;4,8;5;4;4;5;5;4,6;5
0;31;15.07.2019;IS0904;2019;E;1;17;Germany;m;4;2;4;3;4;6;4;5;4,75;5;4;3;3;3,75;6;5;5;3;4,75;4;2;2;3;2,75;5;4;6;5;5;3;5;4;2;6;4;4,125;6;5;6;6;5;5,6;7;6;4;7;7;6,2;7;6;7;6;5;6,2;6;6;5;6;6;5,8;4,8
0;12;17.07.2019;IT1137;2019;E;1;17;Germany;m;3;;3;2;5;;5;6;5,333333333;6;3;5;5;4,75;4;5;3;4;4;2;2;2;4;2,5;5;5;4;5;4,75;3;3;5;4;5;4;3,8125;6;6;6;3;5;5,2;6;6;5;;;5,666666667;3;6;6;5;;5;2;6;6;5;5;4,8;5,2
0;2;17.07.2019;JA0223;2019;E;1;18;Germany;m;3;4;5;5;5;4;3;3;3,75;6;4;5;7;5,5;6;5;4;5;5;3;3;4;3;3,25;5;5;6;4;5;5;5;4;5;5;4,8;4,5125;5;5;6;5;3;4,8;5;6;4;4;5;4,8;5;4;5;4;5;4,6;5;4;4;5;6;4,8;4,8
0;9;17.07.2019;JA0520;2019;E;1;19;Germany, amerikanisch;w;1;1;3;1;7;7;5;7;6,5;7;5;6;5;5,75;7;4;6;4;5,25;7;7;7;7;7;2;3;5;7;4,25;7;6;7;6;5;6,2;5,675;5;5;7;7;6;6;1;7;6;7;4;5;7;7;6;6;6;6,4;6;6;6;7;4;5,8;5,6
0;17;15.07.2019;JN0911;2019;E;1;29;Germany;w;1;2;2;1;7;6;6;7;6,5;6;4;4;7;5,25;7;7;7;6;6,75;6;6;6;7;6,25;2;6;7;7;5,5;7;6;7;7;7;6,8;6,325;7;7;6;6;7;6,6;7;7;5;6;6;6,2;7;7;7;7;6;6,8;6;6;6;6;6;6;4,2
